University of Washington-Seattle Campus,WA,Public,City: Large,51%-75%,Very Large,www.washington.edu/,-122.30514,47.65538
University of Wisconsin-Madison,WI,Public,City: Large,51%-75%,Very Large,www.wisc.edu/,-89.404098,43.075409
Vanderbilt University,TN,Private,City: Large,Most Selective,Large,www.vanderbilt.edu/,-86.803369,36.14659
Villanova University,PA,Private,Suburb: Large,<10%,Large,www.villanova.edu/,-75.340502,40.036463
Virginia Polytechnic Institute and State University,VA,Public,City: Small,51%-75%,Very Large,www.vt.edu/,-80.423675,37.229012
Wake Forest University,NC,Private,City: Midsize,<10%,Medium,www.wfu.edu/,-80.277446,36.133609
Washington University in St Louis,MO,Private,Suburb: Large,10%-25%,Large,https://wustl.edu/,-90.310604,38.647929
Wayne State University,MI,Public,City: Large,51%-75%,Very Large,https://wayne.edu/,-83.068998,42.358994
Wesleyan University,CT,Private,City: Small,10%-25%,Small,www.wesleyan.edu/,-72.657146,41.554665
William & Mary,VA,Public,Suburb: Small,<10%,Medium,https://www.wm.edu/,-76.708214,37.269489
Worcester Polytechnic Institute,MA,Private,City: Midsize,51%-75%,Medium,https://www.wpi.edu/,-71.808339,42.274853
Yale University,CT,Private,City: Midsize,Most Selective,Large,https://www.yale.edu/,-72.926688,41.311158
